Date,market_value,balance,stock_owned,price,action,amount
2023-04-19,92555.85935072404,27.36894087296332,787,117.5711441040039,buy,0
2023-04-20,92585.16049818498,27.36894087296332,787,117.6083755493164,buy,0
2023-04-21,92123.6854386757,27.36894087296332,787,117.02200317382812,sell,0
2023-04-24,91881.96298078996,27.36894087296332,787,116.71485900878906,sell,0
2023-04-25,92240.89002851945,27.36894087296332,787,117.17092895507812,sell,0
2023-04-26,92211.58888105852,27.36894087296332,787,117.13369750976562,buy,0
2023-04-27,93031.9789796303,27.36894087296332,787,118.1761245727539,buy,0
2023-04-28,92621.78693251115,27.36894087296332,787,117.65491485595703,buy,0
2023-05-01,92387.37775282365,27.36894087296332,787,117.35706329345703,buy,0
2023-05-02,91706.16810469133,27.36894087296332,787,116.49148559570312,sell,0
2023-05-03,90453.61009840471,27.36894087296332,787,114.8999252319336,buy,0
2023-05-04,89809.00887159807,27.36894087296332,787,114.08086395263672,buy,0
2023-05-05,90600.0978227089,27.36894087296332,787,115.0860595703125,sell,0
2023-05-08,90416.98966841203,27.36894087296332,787,114.8533935546875,buy,0
2023-05-09,89993.76221327287,27.36894087296332,787,114.31562042236328,buy,0
2023-05-10,90624.87170271379,27.36894087296332,787,115.11753845214844,sell,0
2023-05-11,89793.29553083879,27.36894087296332,787,114.06089782714844,buy,0
2023-05-12,91233.6991105507,27.36894087296332,787,115.89114379882812,sell,0
2023-05-15,91619.80777601701,27.36894087296332,787,116.38175201416016,buy,0
2023-05-16,91694.04535536272,27.36894087296332,787,116.47608184814453,sell,0
2023-05-17,93364.62505964738,27.36894087296332,787,118.59880065917969,sell,0
2023-05-18,93691.32084516984,27.36894087296332,787,119.013916015625,sell,0
2023-05-19,94515.46965651018,27.36894087296332,787,120.06111907958984,buy,0
2023-05-22,94693.66626600725,27.36894087296332,787,120.28754425048828,sell,0
2023-05-23,95198.55265669328,27.36894087296332,787,120.9290771484375,buy,0
2023-05-24,93342.34898237688,27.36894087296332,787,118.57049560546875,buy,0
2023-05-25,94144.23972944719,27.36894087296332,787,119.58941650390625,sell,0
2023-05-26,95725.72112898332,27.36894087296332,787,121.59892272949219,buy,0
2023-05-30,96163.77328352434,27.36894087296332,787,122.15553283691406,buy,0
2023-05-31,95408.92229057389,18373.338603745276,635,121.31587982177734,sell,152
2023-06-01,96145.79591728287,18373.338603745276,635,122.47631072998047,sell,0
2023-06-02,97703.40433097916,18373.338603745276,635,124.92923736572266,buy,0
2023-06-05,97835.20345665055,18373.338603745276,635,125.13679504394531,buy,0
2023-06-06,97865.15317894059,18373.338603745276,635,125.1839599609375,sell,0
2023-06-07,98877.59622551041,18373.338603745276,635,126.77835845947266,buy,0
2023-06-08,98895.56993461685,18373.338603745276,635,126.8066635131836,buy,0
2023-06-09,99428.7544438942,18373.338603745276,635,127.64632415771484,sell,0
2023-06-12,100099.71639610367,18373.338603745276,635,128.7029571533203,buy,143
2023-06-13,100806.64030052262,18373.338603745276,635,129.81622314453125,buy,0
2023-06-14,100162.32946908798,97314.67526376572,22,129.43882751464844,sell,613
